data,confirmacao,sobre_cons_jogos,jogar_infl,horas_jogo,horas_grad,jogar_atrap_acad,ambiente_nocivo,alvo_nocivo,comp_nocivo_afetou,jogo_afetou_sono
22/11/2022 18:44:53,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,4,Neutro
22/11/2022 18:45:17,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Mais de 30 horas semanais,Entre 5 e 10 horas semanais,Não concordo nem discordo,Um pouco nocivo,Sim,2,Raramente/Nunca
22/11/2022 18:45:25,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Discordo,Um pouco nocivo,Sim,3,Neutro
22/11/2022 18:45:33,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 21 e 30 horas semanais,Entre 5 e 10 horas semanais,Discordo,Um pouco nocivo,Sim,4,Frequentemente
22/11/2022 18:52:30,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Discordo totalmente,Muito nocivo,Sim,1,Raramente/Nunca
22/11/2022 18:57:44,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 5 e 10 horas semanais,Entre 5 e 10 horas semanais,Discordo totalmente,Neutro,Não,,Raramente/Nunca
22/11/2022 18:59:44,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Discordo totalmente,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Concordo,Um pouco nocivo,Sim,3,Neutro
22/11/2022 19:03:52,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Entre 11 e 20 horas semanais,Entre 5 e 10 horas semanais,Discordo,Neutro,Sim,4,Neutro
22/11/2022 19:11:15,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Concordo,Um pouco nocivo,Não,,Raramente/Nunca
22/11/2022 19:22:22,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
22/11/2022 19:22:39,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Entre 5 e 10 horas semanais,Entre 5 e 10 horas semanais,Discordo,Muito nocivo,Sim,5,Raramente/Nunca
22/11/2022 19:29:29,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Concordo,Moderadamente nocivo,Não,,Raramente/Nunca
22/11/2022 19:29:31,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
22/11/2022 19:30:08,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Concordo,Um pouco nocivo,Não,,Neutro
22/11/2022 19:33:03,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 0 e 4 horas semanais,Mais de 30 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,1,Neutro
22/11/2022 19:33:03,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Mais de 30 horas semanais,Entre 5 e 10 horas semanais,Discordo,Um pouco nocivo,Sim,3,Neutro
22/11/2022 19:52:22,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Concordo,Um pouco nocivo,Sim,2,Ocasionalmente
22/11/2022 19:55:17,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
22/11/2022 19:58:17,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,2,Neutro
22/11/2022 20:07:44,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 21 e 30 horas semanais,Entre 11 e 20 horas semanais,Concordo,Um pouco nocivo,Sim,2,Raramente/Nunca
22/11/2022 20:14:33,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
22/11/2022 20:19:40,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Mais de 30 horas semanais,Mais de 30 horas semanais,Discordo,Um pouco nocivo,Sim,3,Ocasionalmente
22/11/2022 20:47:12,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Entre 0 e 4 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,1,Neutro
22/11/2022 21:10:55,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Discordo totalmente,Neutro,Não,,Raramente/Nunca
22/11/2022 21:27:19,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Concordo,Um pouco nocivo,Sim,,Ocasionalmente
22/11/2022 21:48:29,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
22/11/2022 21:50:39,Concordo e desejo continuar,Começei a jogar depois que ingressei no curso,Discordo totalmente,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Concordo,Um pouco nocivo,Sim,3,Frequentemente
22/11/2022 21:55:48,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Mais de 30 horas semanais,Entre 21 e 30 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,3,Raramente/Nunca
22/11/2022 22:00:33,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Concordo,Neutro,Sim,3,Ocasionalmente
22/11/2022 22:25:21,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
22/11/2022 22:28:42,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 11 e 20 horas semanais,Entre 5 e 10 horas semanais,Concordo,Neutro,Sim,2,Raramente/Nunca
22/11/2022 22:38:31,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 21 e 30 horas semanais,Entre 11 e 20 horas semanais,Concordo,Neutro,Sim,1,Ocasionalmente
22/11/2022 22:39:00,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Discordo,Moderadamente nocivo,Sim,2,Ocasionalmente
22/11/2022 22:49:38,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 5 e 10 horas semanais,Entre 21 e 30 horas semanais,Concordo,Neutro,Sim,4,Ocasionalmente
22/11/2022 22:53:39,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 0 e 4 horas semanais,Mais de 30 horas semanais,Discordo totalmente,Muito nocivo,Sim,3,Frequentemente
22/11/2022 23:00:50,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Entre 11 e 20 horas semanais,Entre 0 e 4 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,3,Frequentemente
22/11/2022 23:22:40,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Concordo totalmente,Um pouco nocivo,Sim,4,Ocasionalmente
22/11/2022 23:44:27,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Discordo totalmente,Moderadamente nocivo,Sim,2,Raramente/Nunca
23/11/2022 00:10:27,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,2,Frequentemente
23/11/2022 04:19:14,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Discordo,Neutro,Sim,1,Ocasionalmente
23/11/2022 09:57:17,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
23/11/2022 10:27:04,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Entre 11 e 20 horas semanais,Entre 5 e 10 horas semanais,Concordo totalmente,Um pouco nocivo,Sim,3,Raramente/Nunca
23/11/2022 10:42:26,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
23/11/2022 10:48:22,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Discordo,Um pouco nocivo,Sim,2,Ocasionalmente
23/11/2022 10:50:34,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Entre 11 e 20 horas semanais,Entre 5 e 10 horas semanais,Concordo,Um pouco nocivo,Sim,1,Ocasionalmente
23/11/2022 11:00:15,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 5 e 10 horas semanais,Entre 5 e 10 horas semanais,Não concordo nem discordo,Não nocivo,Sim,4,Ocasionalmente
23/11/2022 12:08:17,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 21 e 30 horas semanais,Entre 11 e 20 horas semanais,Discordo,Um pouco nocivo,Sim,1,Raramente/Nunca
24/11/2022 15:07:43,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Concordo,Moderadamente nocivo,Sim,3,Ocasionalmente
24/11/2022 15:08:39,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 11 e 20 horas semanais,Entre 11 e 20 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,4,Ocasionalmente
24/11/2022 15:08:42,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 5 e 10 horas semanais,Entre 5 e 10 horas semanais,Concordo,Moderadamente nocivo,Sim,2,Ocasionalmente
24/11/2022 15:09:08,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Concordo,Não nocivo,Sim,1,Ocasionalmente
24/11/2022 15:10:15,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 5 e 10 horas semanais,Entre 21 e 30 horas semanais,Não concordo nem discordo,Um pouco nocivo,Sim,1,Raramente/Nunca
24/11/2022 15:11:35,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Discordo totalmente,Um pouco nocivo,Sim,3,Neutro
24/11/2022 15:12:13,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Entre 5 e 10 horas semanais,Mais de 30 horas semanais,Concordo,Muito nocivo,Sim,5,Raramente/Nunca
24/11/2022 15:23:23,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 0 e 4 horas semanais,Mais de 30 horas semanais,Discordo,Um pouco nocivo,Sim,2,Raramente/Nunca
24/11/2022 15:34:27,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Concordo,Muito nocivo,Sim,3,Ocasionalmente
24/11/2022 15:41:26,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
24/11/2022 15:41:36,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 5 e 10 horas semanais,Mais de 30 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,1,Raramente/Nunca
24/11/2022 16:15:14,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Não concordo nem discordo,Neutro,Sim,5,Frequentemente
24/11/2022 16:33:53,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Discordo totalmente,Neutro,Não,,Raramente/Nunca
24/11/2022 16:45:06,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Discordo totalmente,Um pouco nocivo,Sim,1,Ocasionalmente
24/11/2022 17:55:12,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Discordo,Neutro,Sim,1,Ocasionalmente
24/11/2022 18:00:42,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Entre 21 e 30 horas semanais,Entre 5 e 10 horas semanais,Concordo totalmente,Um pouco nocivo,Sim,4,Frequentemente
24/11/2022 18:28:47,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Discordo,Um pouco nocivo,Sim,2,Raramente/Nunca
24/11/2022 18:38:07,Concordo e desejo continuar,Começei a jogar depois que ingressei no curso,Discordo totalmente,Entre 5 e 10 horas semanais,Entre 21 e 30 horas semanais,Discordo totalmente,Não nocivo,Sim,1,Ocasionalmente
24/11/2022 18:38:17,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Discordo totalmente,Um pouco nocivo,Não,,Raramente/Nunca
24/11/2022 19:14:42,Concordo e desejo continuar,Começei a jogar depois que ingressei no curso,Discordo totalmente,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,2,Frequentemente
24/11/2022 19:21:32,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Discordo,Muito nocivo,Sim,1,Ocasionalmente
24/11/2022 19:44:14,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 11 e 20 horas semanais,Mais de 30 horas semanais,Concordo totalmente,Muito nocivo,Sim,4,Raramente/Nunca
24/11/2022 20:04:53,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Não concordo nem discordo,Um pouco nocivo,Sim,3,Raramente/Nunca
24/11/2022 20:42:52,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Mais de 30 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,1,Raramente/Nunca
24/11/2022 20:56:40,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
25/11/2022 01:29:56,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Entre 21 e 30 horas semanais,Entre 11 e 20 horas semanais,Não concordo nem discordo,Moderadamente nocivo,Sim,3,Ocasionalmente
25/11/2022 05:18:45,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
25/11/2022 07:52:11,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 11 e 20 horas semanais,Entre 5 e 10 horas semanais,Concordo,Um pouco nocivo,Sim,2,Ocasionalmente
25/11/2022 09:01:52,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,2,Frequentemente
25/11/2022 09:14:48,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Discordo totalmente,Um pouco nocivo,Sim,4,Ocasionalmente
25/11/2022 11:37:54,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Entre 11 e 20 horas semanais,Entre 5 e 10 horas semanais,Concordo,Neutro,Sim,2,Raramente/Nunca
25/11/2022 13:20:43,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Não concordo nem discordo,Muito nocivo,Sim,1,Raramente/Nunca
25/11/2022 13:21:02,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
25/11/2022 23:38:04,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 5 e 10 horas semanais,Entre 21 e 30 horas semanais,Discordo,Moderadamente nocivo,Sim,4,Ocasionalmente
26/11/2022 06:35:04,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
26/11/2022 10:08:37,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Discordo totalmente,Neutro,Sim,2,Ocasionalmente
26/11/2022 12:04:44,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Entre 0 e 4 horas semanais,Não concordo nem discordo,Um pouco nocivo,Não,,Raramente/Nunca
26/11/2022 15:37:52,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo totalmente,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Concordo,Neutro,Sim,1,Ocasionalmente
26/11/2022 15:49:36,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Mais de 30 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,3,Raramente/Nunca
26/11/2022 18:30:07,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Mais de 30 horas semanais,Discordo totalmente,Um pouco nocivo,Sim,2,Raramente/Nunca
26/11/2022 19:14:51,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo,Entre 11 e 20 horas semanais,Entre 5 e 10 horas semanais,Concordo,Muito nocivo,Sim,5,Ocasionalmente
